"";"Methode";"alpha";"beta";"sigma2"
"144";"Reg. Lin. Sto.";0,00764184466995643;0,978400515237032;0,160369557221639
"145";"EM";0,0182630720503784;1,02403192958936;0,161308106930239
"146";"Boot";0,0583052547752154;1,03621503175496;0,213335079404489
"147";"Post";0,0461830029943696;1,03222488797777;0,264861020619742
"148";"Moy";0,11243393970106;0,706286733686164;0,0769891997042008
"149";"Reg. Lin.";0,0475705241319805;1,02349757149101;0,048902452997603
"150";"Reg. Lin. Sto.";0,0445792132445725;1,02470105020263;0,186358201704762
"151";"EM";-0,0264967811549677;0,974428782284113;0,13572437947326
"152";"Boot";-0,0558408589017179;0,978362353747793;0,187906809180115
"153";"Post";-0,0602605881352442;0,979867684372258;0,224141194080624
"154";"Moy";-0,0436109478774083;0,59787191978618;0,0743856947364867
"155";"Reg. Lin.";-0,0687849598990819;0,976539128355247;0,0446530261031927
"156";"Reg. Lin. Sto.";-0,0681576041230274;0,97676060946651;0,150852069963698
"157";"EM";-0,00752439598249641;0,993655764524394;0,163653152679217
"158";"Boot";-0,00621672341375615;1,03081940802592;0,213864999199734
"159";"Post";-0,0199010219496987;0,996827494831238;0,271384549420676
"160";"Moy";-0,125229083319153;0,657692388679683;0,07428819930613
"161";"Reg. Lin.";-0,0197107875857483;0,993077493338301;0,0501755172429705
"162";"Reg. Lin. Sto.";-0,0267423051957834;0,99849692021014;0,189546007699435
"163";"EM";-0,0183228091464557;1,03505729820704;0,106880781813168
"164";"Boot";-0,0421525475312432;1,01990633185276;0,13764841780395
"165";"Post";-0,0489945201668961;1,03645357759376;0,177780877979726
"166";"Moy";-0,0921772015553956;0,76037456847087;0,0628955911774632
"167";"Reg. Lin.";-0,047605673281693;1,03235986392711;0,0395524432852512
"168";"Reg. Lin. Sto.";-0,0502134369450569;1,03295264291436;0,118157252557065
"169";"EM";0,0255848419135323;0,941840221855652;0,113871964441475
"170";"Boot";0,0753368603523127;0,959886469255233;0,158294632356454
"171";"Post";0,0709927466535372;0,94333507011723;0,191377144814094
"172";"Moy";0,0736422924537675;0,653467299741305;0,0656661705844035
"173";"Reg. Lin.";0,0663038790616686;0,944683931731794;0,0407988166340964
"174";"Reg. Lin. Sto.";0,0669928331501054;0,943262163191362;0,124913052566126
"175";"EM";-0,00141345052182119;0,968788425167978;0,151498540474717
"176";"Boot";-0,00890868765667862;0,938442567565826;0,200348171678268
"177";"Post";-0,0104035318764091;0,96930922623178;0,252544027932494
"178";"Moy";-0,0127689820448475;0,675554855151314;0,0716067073643381
"179";"Reg. Lin.";-0,00367649535671105;0,968669931150331;0,0470498466214215
"180";"Reg. Lin. Sto.";-0,00092569922967401;0,967510503312891;0,173082925569471
